minor: 0,minor: 1,minor: 2,minor: 3,minor: 4,minor: 5,minor: 6,minor: 7,minor: 8,minor: 9,minor: 10,minor: 11,minor: 12,minor: 13,minor: 14,minor: 15,minor: 16,minor: 17,minor: 18,minor: 19,minor: 20,minor: 21,minor: 22,minor: 23,minor: 24,label
-56.125,-46.125,-53.28571429,-68.88888889,-71.4,-63.375,-59.66666667,-73.16666667,-70.72727273,-72.4,-64,-61.7,-64.33333333,-74,-71.28571429,-67.66666667,-69.41666667,-70.33333333,-74.5,-71.5,-70.66666667,-71.4,-75.5625,-73.4,-78.76923077,0
-53.25,-46.2,-52.3,-69.4,-69.6,-65.55555556,-68.42857143,-67.11111111,-72.85714286,-67,-64.90909091,-64.22222222,-65,-70.7,-74.44444444,-68.8,-68.66666667,-67.90909091,-77.25,-68.75,-75.8,-74,-74.5,-74.33333333,-78.57142857,0
-53,-46.44444444,-53.4,-67.125,-69.25,-67.33333333,-65.22222222,-67.2,-76.5,-74,-68,-62.72727273,-65,-72.36363636,-76,-75,-71.33333333,-68.22222222,-74.14285714,-73,-81.66666667,-73.375,-76.14285714,-73.16666667,-78.11111111,0
-67.125,-61.75,-68,-80.11111111,-84.125,-80.66666667,-79.57142857,-77.14285714,-88.28571429,-85.33333333,-84.5,-74.875,-81.25,-85.8,-85.55555556,-89.71428571,-85.7,-83.25,-91,-87.85714286,-91.5,-85.8,-90.16666667,-89.25,-91.66666667,0
-71.1,-62.375,-65.5,-83.14285714,-83.90909091,-74.08333333,-77.66666667,-82.63636364,-87.66666667,-86.83333333,-80.6,-74.7,-78.11111111,-87.77777778,-87.55555556,-85.75,-85.875,-83.16666667,-91.75,-89.71428571,-91.5,-88.5,-90.88888889,-90.9,-92,0
-54.2,-59.44444444,-73.33333333,-71.14285714,-76.5,-67.2,-56.9,-74.375,-71.8,-76.16666667,-68.42857143,-62.77777778,-72.42857143,-76.85714286,-65,-71.33333333,-69.25,-72.42857143,-73.4,-74.75,-71.1,-72.16666667,-82,-72.14285714,-84.25,1
-61.83333333,-64,-70.75,-83,-84.5,-76.4,-67.28571429,-78.4,-80.2,-88.2,-75.125,-70.5,-81,-77.8,-79.5,-80.14285714,-89.2,-83.66666667,-87.28571429,-83.75,-84.5,-77.2,-80,-86.25,-89.5,1
-49,-56.9,-65.11111111,-69,-77.66666667,-68,-57.81818182,-71.85714286,-73.42857143,-76.14285714,-67.125,-61.5,-70.63636364,-68.73333333,-67.41666667,-69.63636364,-70.5,-70,-74.4,-73.36363636,-75.375,-72,-80.5,-75.8,-81.85714286,1
-51.92857143,-52.14285714,-69.30769231,-71.75,-74.6,-67.14285714,-60.55555556,-71.9,-74.625,-76.92307692,-64.71428571,-64.5,-70.33333333,-71.375,-63.16666667,-68.4,-67.71428571,-74.1,-73.375,-73,-72,-68.9,-81.5,-76.83333333,-74.66666667,1
-50.18181818,-54.8,-68.57142857,-75.33333333,-74.16666667,-64.33333333,-59.75,-76.85714286,-75.41666667,-76.14285714,-63.18181818,-64.64285714,-70.57142857,-71.3,-65.38461538,-68.4,-71.83333333,-70.1,-74.5,-75,-73.875,-68.16666667,-77.25,-73.33333333,-74.66666667,1
-61.69230769,-65.27272727,-64.57142857,-73,-80.42857143,-56.27272727,-66.57142857,-70.4,-78.75,-79.14285714,-61.1875,-72.85714286,-68.625,-75.57142857,-73.90909091,-64.125,-69.9,-73.6,-78.16666667,-86,-66.57142857,-73.66666667,-73.6,-67,-82.6,2
-65.33333333,-64.75,-74.6,-75.4,-78.72727273,-53.875,-61.22222222,-70,-76.72727273,-80.5,-62.28571429,-71.83333333,-69,-76.5,-69,-63.25,-66.4,-80,-76,-83.5,-71.66666667,-76,-75.33333333,-75.4,-80.75,2
-65.2,-63.66666667,-69.57142857,-73.16666667,-76.5,-55.125,-59.72727273,-69.42857143,-83,-80.5,-62.46666667,-67.625,-68.375,-75.5,-75.85714286,-60.14285714,-63.8,-72,-78.7,-85.14285714,-69.77777778,-75.71428571,-78.42857143,-75.25,-82.375,2
-76.5,-73.2,-89,-90.6,-95,-72,-69.75,-88.375,-80,-80,-75.66666667,-81.28571429,-79.77777778,-92,-87,-76.66666667,-80.125,-89.875,-92.25,-92.5,-82,-86,-93,-93,-96,2
-64,-70.17647059,-67.76923077,-81,-81,-56.88888889,-53.5,-71.83333333,-80.85714286,-80,-60.09090909,-72.41666667,-66,-79.36363636,-74.92857143,-63.44444444,-64.75,-70.66666667,-78.33333333,-80.5,-67.16666667,-71.5,-72,-70.11111111,-83,2
-57.30769231,-57.45454545,-69,-68.125,-74.44444444,-66.92857143,-54.1,-69.41666667,-75.125,-77.83333333,-75.71428571,-71.81818182,-72,-74.5,-66.6,-66.90909091,-79.25,-74.71428571,-79.57142857,-77.6,-77.3,-76.875,-80,-79.71428571,-88,3
-58.85714286,-64.10526316,-67.25,-72.33333333,-77.4,-63.58333333,-56.09090909,-69.45454545,-81.14285714,-74,-68,-81.14285714,-71.33333333,-72.72727273,-65.28571429,-71.15384615,-77.77777778,-73.71428571,-73.33333333,-79.42857143,-75.25,-75.57142857,-78.85714286,-80.42857143,-81.75,3
-55.71428571,-59.72727273,-62.09090909,-70.66666667,-75.72727273,-59,-55.46153846,-69.57142857,-75.69230769,-73.57142857,-69.22222222,-69.8,-71.8,-74.71428571,-67.83333333,-78.57142857,-74.4,-79,-76.2,-81.5,-74.84615385,-77,-74.5,-78.75,-77.66666667,3
-51.69230769,-52.33333333,-65.85714286,-77.14285714,-75.41666667,-62.5,-57.15384615,-69.75,-74.4,-79.7,-71.7,-71.83333333,-71.4,-79.33333333,-73.83333333,-72.375,-84.85714286,-75.5,-76.71428571,-85.4,-79,-77.5,-76,-80,-86.2,3
-51.2,-56.15384615,-64.85714286,-72.57142857,-80.28571429,-66.1,-60.35294118,-67.625,-71.4,-77,-73.09090909,-73.58333333,-74.8,-83,-74.33333333,-74,-78.33333333,-76.125,-79,-80,-74.125,-73.5,-77,-77.375,-77,3
-63,-46,-71.83333333,-69.8,-74.25,-56,-51,-50.5,-71.45454545,-74.4,-58.33333333,-56.28571429,-67.66666667,-71,-69.28571429,-66,-66.22222222,-61.66666667,-72.28571429,-77.27272727,-67.27272727,-69.2,-80.75,-71.53846154,-76,20
-64.77777778,-50.16666667,-75.75,-69.8,-72.5,-53.2,-49.375,-51.85714286,-70.4,-74.9,-63.55555556,-56.5,-67.22222222,-70.90909091,-70.66666667,-70,-72.28571429,-62,-71.125,-75,-71.33333333,-72,-73,-71,-80.18181818,20
-70.25,-52.25,-79,-73,-79,-63,-52.27272727,-54.66666667,-74.7,-72.75,-74.44444444,-60.875,-73.375,-80.28571429,-74.5,-68,-73,-64.57142857,-80.75,-83.66666667,-75,-78,-77.55555556,-69.5,-83.5,20
-65.22222222,-50.7,-75.66666667,-72.7,-74,-55.75,-46.66666667,-52.63636364,-71,-73,-64.33333333,-56.44444444,-67.75,-72.75,-74.85714286,-64.6,-67.07692308,-65.9,-69.77777778,-73.66666667,-68.8,-75.5,-75,-70.1,-82,20
-65.27272727,-51.83333333,-75.66666667,-75.16666667,-74,-51.33333333,-46.90909091,-53.5,-73,-73,-61.63636364,-57.7,-64.09090909,-71.55555556,-71.72727273,-69.08333333,-71.18181818,-64.5,-72.08333333,-74.27272727,-70.08333333,-73.75,-69.57142857,-71.88888889,-76.83333333,20
-54.6,-50,-70.44444444,-69.33333333,-77.71428571,-59.54545455,-63.1,-71,-78.125,-78,-63.72727273,-60.2,-70.57142857,-74.5,-76.5,-70,-68.25,-68.55555556,-75.28571429,-78.14285714,-66.14285714,-64.14285714,-74.8,-73.72727273,-83.4,21
-51.4,-51,-73.77777778,-76.25,-80.4,-57.875,-61.55555556,-68.75,-72.28571429,-78,-62,-58.42857143,-72.5,-72.66666667,-76.66666667,-70,-71.36363636,-65.5,-70,-77.9,-68.77777778,-67.5,-76,-73.85714286,-80,21
-57.625,-52.11111111,-74.14285714,-84.66666667,-82.5,-61.5,-63.16666667,-71,-82,-72.5,-63.625,-62.5,-81.85714286,-76.71428571,-79,-71.16666667,-77.57142857,-76,-80.44444444,-79.2,-72.83333333,-74.125,-79.6,-75.14285714,-91,21
