,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label
Location: 0 - Direction: 0,-62.57142857,-68.33333333,-46.5,-58,-55.6,-64,-61.8,-78.16666667,-66,-69.75,-68.66666667,-76.16666667,-80,-77.33333333,-82.5,-87.5,-78.66666667,-87,-88.4,-88,-84.5,-86.66666667,-87,-84.66666667,-92,-94,-65.85714286,0
Location: 0 - Direction: 0,-61.25,-61.77777778,-47.27272727,-59.375,-54.75,-62.44444444,-60.2,-72.375,-65.16666667,-70.33333333,-69.85714286,-75.8,-82.5,-78,-77.71428571,-81.77777778,-79.45454545,-83,-85.7,-84.25,-83.5,-85.25,-85,-85.28571429,-92,-94,-70.57142857,0
Location: 0 - Direction: 0,-65.84615385,-67,-51.77777778,-62.8,-59.25,-67.88888889,-69,-69.75,-67.66666667,-73.6,-73.76923077,-75,-78.25,-81.375,-75.88888889,-89,-96,-86,-86.375,-83,-90,-88,-89.2,-87.85714286,-85.5,-94,-64.63636364,0
Location: 0 - Direction: 0,-73.15384615,-66.5,-58,-67.44444444,-59,-75.77777778,-71.75,-67.88888889,-70.625,-81.8,-75.83333333,-74.44444444,-79,-82.5,-76.77777778,-90.5,-93.5,-84.8,-90.25,-86.25,-91,-88.75,-90.57142857,-88.88888889,-85.2,-94,-63.11111111,0
Location: 0 - Direction: 0,-76.44444444,-66,-55.66666667,-66.76923077,-58.72727273,-73.55555556,-71.25,-67,-71.27272727,-81.55555556,-77.66666667,-74.33333333,-79.66666667,-82.11111111,-76.6,-85.5,-91.5,-85.36363636,-87,-86.55555556,-90.33333333,-88.41666667,-90,-88,-85.45454545,-92,-61.5,0
Location: 0 - Direction: 0,-64,-66.57142857,-56,-65.42857143,-57.83333333,-66.28571429,-74.2,-65.33333333,-72,-74.57142857,-76.5,-74.54545455,-76.16666667,-84.22222222,-78.4,-81.33333333,-89.66666667,-85.33333333,-87.33333333,-86.54545455,-90,-90,-87.5,-87.66666667,-86.42857143,-93,-61.75,0
Location: 0 - Direction: 0,-55.6,-56.71428571,-54.1,-66.57142857,-55.44444444,-62,-69.2,-60.11111111,-77.5,-69.25,-75.66666667,-73.33333333,-69.25,-85.5,-85.5,-76.875,-84,-90,-88.6,-91,-81,-88,-89.25,-94,-88,-93,-61,0
Location: 0 - Direction: 0,-55.63636364,-56.23076923,-53.125,-60,-55.90909091,-61.54545455,-73.5,-60.9,-77.4,-69.66666667,-73.875,-76.9,-70.25,-85.2,-77.88888889,-72.875,-85,-89.33333333,-88,-91,-82.42857143,-88,-88.42857143,-91.8,-93,-91.5,-61.55555556,0
Location: 0 - Direction: 0,-56.66666667,-62.3,-50.36363636,-62.4,-60.33333333,-64.21428571,-67.76923077,-63,-69.33333333,-69.625,-74.66666667,-74.5,-73.5,-85.33333333,-78.25,-75.625,-82,-86,-85.5,-79.66666667,-84.28571429,-86,-86.22222222,-89,-90.33333333,-91.5,-65.75,0
Location: 0 - Direction: 0,-73.8,-68.33333333,-49.57142857,-61.09090909,-72,-69.88888889,-61.14285714,-66.33333333,-69,-72.33333333,-68.71428571,-75.4,-76.8,-75,-73.25,-84,-78.8,-87.66666667,-87,-81.66666667,-86.2,-86.25,-87.75,-88.66666667,-92,-91.5,-63.33333333,0
Location: 0 - Direction: 0,-65.81818182,-69.875,-48.75,-60.45454545,-59.375,-65.33333333,-60.2,-66.66666667,-67.15384615,-72.22222222,-68,-75.375,-74.5,-76.75,-75.07692308,-86,-79,-86.2,-85,-81,-87.33333333,-86,-84.33333333,-88,-92,-91.5,-71,0
Location: 0 - Direction: 0,-68.66666667,-70.1,-51,-62.125,-59.66666667,-70.77777778,-67.28571429,-69,-69.2,-76.09090909,-68.28571429,-76.33333333,-85,-81.16666667,-74.33333333,-90,-80.16666667,-87,-87.33333333,-86.16666667,-91.4,-87.5,-85,-91,-88,-93,-69.2,0
Location: 0 - Direction: 0,-64.28571429,-72.625,-56.5,-65.42857143,-59.6,-74.9,-74,-66.14285714,-71,-80.5,-79.71428571,-74.5,-88.75,-82.33333333,-75,-91.66666667,-94,-87,-86.16666667,-92.85714286,-91.8,-88,-87.5,-90.66666667,-88.4,-93.2,-62.4,0
Location: 0 - Direction: 0,-69.42857143,-76.57142857,-55,-65,-59.625,-71.9,-74,-66.125,-70.58333333,-84.5,-77.36363636,-73.8,-79.8,-82.83333333,-75.66666667,-90.66666667,-97.5,-87,-86.16666667,-90.42857143,-93,-88.75,-88.14285714,-92.25,-90.4,-92.4,-62.44444444,0
